,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run
3333,190,Lake Sockeye,2002,NA,NA,NA
3396,190,Lake Sockeye,2003,NA,NA,NA
3459,190,Lake Sockeye,2004,NA,NA,NA
3522,190,Lake Sockeye,2005,250,125,344
3585,190,Lake Sockeye,2006,NA,NA,NA
3648,190,Lake Sockeye,2007,320,160,489
3711,190,Lake Sockeye,2008,114,57,175
3774,190,Lake Sockeye,2009,780,390,915
3837,190,Lake Sockeye,2010,1020,510,1353
3900,190,Lake Sockeye,2011,964,482,1371
3963,190,Lake Sockeye,2012,2860,1430,4025
4026,190,Lake Sockeye,2013,550,275,618
4089,190,Lake Sockeye,2014,3126,1563,4455
4152,190,Lake Sockeye,2015,766,383,927
4215,190,Lake Sockeye,2016,NA,NA,NA
4278,190,Lake Sockeye,2017,2262,1131,2420
4341,190,Lake Sockeye,2018,NA,408,NA
4404,190,Lake Sockeye,2019,NA,500,NA
58,191,Lake Sockeye,1950,NA,5000,NA
121,191,Lake Sockeye,1951,NA,700,NA
184,191,Lake Sockeye,1952,NA,NA,NA
247,191,Lake Sockeye,1953,NA,75,NA
310,191,Lake Sockeye,1954,NA,1000,NA
373,191,Lake Sockeye,1955,NA,500,NA
436,191,Lake Sockeye,1956,NA,750,NA
499,191,Lake Sockeye,1957,NA,25,NA
562,191,Lake Sockeye,1958,NA,200,NA
625,191,Lake Sockeye,1959,NA,3500,NA
688,191,Lake Sockeye,1960,3000,1500,5968
751,191,Lake Sockeye,1961,1178,589,2222
814,191,Lake Sockeye,1962,3000,1500,6167
877,191,Lake Sockeye,1963,8000,4000,11681
940,191,Lake Sockeye,1964,6000,3000,11919
1003,191,Lake Sockeye,1965,400,200,692
1066,191,Lake Sockeye,1966,400,200,964
1129,191,Lake Sockeye,1967,300,150,839
1192,191,Lake Sockeye,1968,400,200,927
1255,191,Lake Sockeye,1969,NA,NA,NA
1318,191,Lake Sockeye,1970,100,50,189
1381,191,Lake Sockeye,1971,NA,NA,NA
1444,191,Lake Sockeye,1972,NA,NA,NA
1507,191,Lake Sockeye,1973,4000,2000,9591
1570,191,Lake Sockeye,1974,NA,NA,NA
1633,191,Lake Sockeye,1975,2100,1050,3460
1696,191,Lake Sockeye,1976,200,100,429
1759,191,Lake Sockeye,1977,NA,NA,NA
1822,191,Lake Sockeye,1978,2000,1000,4552
1885,191,Lake Sockeye,1979,NA,NA,NA
1948,191,Lake Sockeye,1980,1500,750,3353
2011,191,Lake Sockeye,1981,400,200,860
2074,191,Lake Sockeye,1982,NA,NA,NA
2137,191,Lake Sockeye,1983,NA,NA,NA
2200,191,Lake Sockeye,1984,600,300,1129
2263,191,Lake Sockeye,1985,2000,1000,4389
2326,191,Lake Sockeye,1986,2000,1000,4014
2389,191,Lake Sockeye,1987,8000,4000,12151
2452,191,Lake Sockeye,1988,6000,3000,15017
2515,191,Lake Sockeye,1989,1400,700,2784
2578,191,Lake Sockeye,1990,2000,1000,4376
2641,191,Lake Sockeye,1991,6800,3400,15582
2704,191,Lake Sockeye,1992,4200,2100,10205
2767,191,Lake Sockeye,1993,5000,2500,11584
2830,191,Lake Sockeye,1994,NA,NA,NA
2893,191,Lake Sockeye,1995,8000,4000,20501
2956,191,Lake Sockeye,1996,4500,2250,13706
3019,191,Lake Sockeye,1997,3600,1800,11543
3082,191,Lake Sockeye,1998,1400,700,2271
3145,191,Lake Sockeye,1999,8000,4000,9623
3208,191,Lake Sockeye,2000,2800,1400,7225
3271,191,Lake Sockeye,2001,2000,1000,3708
3334,191,Lake Sockeye,2002,600,300,1223
3397,191,Lake Sockeye,2003,3000,1500,4497
3460,191,Lake Sockeye,2004,1200,600,1787
3523,191,Lake Sockeye,2005,NA,NA,NA
3586,191,Lake Sockeye,2006,NA,NA,NA
3649,191,Lake Sockeye,2007,NA,NA,NA
3712,191,Lake Sockeye,2008,6106,3053,9354
3775,191,Lake Sockeye,2009,3342,1671,3921
3838,191,Lake Sockeye,2010,NA,NA,NA
3901,191,Lake Sockeye,2011,5094,2547,7246
3964,191,Lake Sockeye,2012,8600,4300,12102
4027,191,Lake Sockeye,2013,800,400,900
4090,191,Lake Sockeye,2014,NA,NA,NA
4153,191,Lake Sockeye,2015,NA,NA,NA
4216,191,Lake Sockeye,2016,NA,NA,NA
4279,191,Lake Sockeye,2017,13786,6893,14747
4342,191,Lake Sockeye,2018,NA,3558,NA
4405,191,Lake Sockeye,2019,NA,1313,NA
59,192,Lake Sockeye,1950,NA,11200,NA
122,192,Lake Sockeye,1951,NA,1000,NA
185,192,Lake Sockeye,1952,NA,15000,NA
248,192,Lake Sockeye,1953,NA,9300,NA
311,192,Lake Sockeye,1954,NA,9200,NA
374,192,Lake Sockeye,1955,NA,4500,NA
437,192,Lake Sockeye,1956,NA,7725,NA
500,192,Lake Sockeye,1957,NA,7500,NA
563,192,Lake Sockeye,1958,NA,7500,NA
626,192,Lake Sockeye,1959,NA,1500,NA
689,192,Lake Sockeye,1960,825,200,1640
752,192,Lake Sockeye,1961,2154,756,4063
815,192,Lake Sockeye,1962,2061,600,4237
878,192,Lake Sockeye,1963,1994,4700,2912
941,192,Lake Sockeye,1964,1852,650,3679
1004,192,Lake Sockeye,1965,2279,800,3943
1067,192,Lake Sockeye,1966,926,425,2232
1130,192,Lake Sockeye,1967,2061,750,5765
1193,192,Lake Sockeye,1968,2061,1000,4778
1256,192,Lake Sockeye,1969,NA,NA,NA
1319,192,Lake Sockeye,1970,1567,550,2960
1382,192,Lake Sockeye,1971,607,200,1239
1445,192,Lake Sockeye,1972,10615,9500,22255
1508,192,Lake Sockeye,1973,15164,5600,36361
1571,192,Lake Sockeye,1974,NA,NA,NA
1634,192,Lake Sockeye,1975,152,300,250
1697,192,Lake Sockeye,1976,NA,NA,NA
1760,192,Lake Sockeye,1977,NA,800,NA
1823,192,Lake Sockeye,1978,712,550,1621
1886,192,Lake Sockeye,1979,2350,800,4930
1949,192,Lake Sockeye,1980,492,150,1101
2012,192,Lake Sockeye,1981,627,220,1347
2075,192,Lake Sockeye,1982,NA,NA,NA
2138,192,Lake Sockeye,1983,NA,NA,NA
2201,192,Lake Sockeye,1984,NA,NA,NA
2264,192,Lake Sockeye,1985,657,200,1441
2327,192,Lake Sockeye,1986,NA,NA,NA
2390,192,Lake Sockeye,1987,3283,1000,4987
2453,192,Lake Sockeye,1988,985,300,2465
2516,192,Lake Sockeye,1989,211,74,419
2579,192,Lake Sockeye,1990,197,260,431
2642,192,Lake Sockeye,1991,492,450,1128
2705,192,Lake Sockeye,1992,657,200,1595
2768,192,Lake Sockeye,1993,328,100,761
2831,192,Lake Sockeye,1994,NA,NA,NA
2894,192,Lake Sockeye,1995,2627,800,6731
2957,192,Lake Sockeye,1996,1970,600,6000
3020,192,Lake Sockeye,1997,33,10,105
3083,192,Lake Sockeye,1998,131,40,213
3146,192,Lake Sockeye,1999,1313,500,1580
3209,192,Lake Sockeye,2000,2374,200,6126
3272,192,Lake Sockeye,2001,1781,150,3301
3335,192,Lake Sockeye,2002,NA,NA,NA
3398,192,Lake Sockeye,2003,8309,700,12456
3461,192,Lake Sockeye,2004,1781,150,2652
3524,192,Lake Sockeye,2005,NA,NA,NA
3587,192,Lake Sockeye,2006,NA,NA,NA
3650,192,Lake Sockeye,2007,NA,NA,NA
3713,192,Lake Sockeye,2008,NA,NA,NA
3776,192,Lake Sockeye,2009,3561,950,4179
3839,192,Lake Sockeye,2010,4123,1100,5469
3902,192,Lake Sockeye,2011,2088,557,2970
3965,192,Lake Sockeye,2012,NA,NA,NA
4028,192,Lake Sockeye,2013,5196,1386,5842
4091,192,Lake Sockeye,2014,NA,NA,NA
4154,192,Lake Sockeye,2015,NA,NA,NA
4217,192,Lake Sockeye,2016,NA,NA,NA
4280,192,Lake Sockeye,2017,NA,NA,NA
4343,192,Lake Sockeye,2018,NA,NA,NA
4406,192,Lake Sockeye,2019,NA,NA,NA
60,193,Lake Sockeye,1950,NA,NA,NA
123,193,Lake Sockeye,1951,NA,NA,NA
186,193,Lake Sockeye,1952,NA,NA,NA
249,193,Lake Sockeye,1953,NA,NA,NA
312,193,Lake Sockeye,1954,NA,NA,NA
375,193,Lake Sockeye,1955,NA,NA,NA
438,193,Lake Sockeye,1956,NA,NA,NA
501,193,Lake Sockeye,1957,NA,NA,NA
564,193,Lake Sockeye,1958,NA,NA,NA
627,193,Lake Sockeye,1959,NA,NA,NA
690,193,Lake Sockeye,1960,NA,NA,NA
753,193,Lake Sockeye,1961,NA,NA,NA
816,193,Lake Sockeye,1962,NA,NA,NA
879,193,Lake Sockeye,1963,NA,NA,NA
942,193,Lake Sockeye,1964,NA,NA,NA
1005,193,Lake Sockeye,1965,NA,NA,NA
1068,193,Lake Sockeye,1966,NA,NA,NA
1131,193,Lake Sockeye,1967,NA,NA,NA
1194,193,Lake Sockeye,1968,NA,NA,NA
1257,193,Lake Sockeye,1969,NA,NA,NA
1320,193,Lake Sockeye,1970,NA,NA,NA
1383,193,Lake Sockeye,1971,NA,NA,NA
1446,193,Lake Sockeye,1972,NA,NA,NA
1509,193,Lake Sockeye,1973,NA,NA,NA
1572,193,Lake Sockeye,1974,NA,NA,NA
1635,193,Lake Sockeye,1975,NA,NA,NA
1698,193,Lake Sockeye,1976,NA,NA,NA
1761,193,Lake Sockeye,1977,NA,NA,NA
1824,193,Lake Sockeye,1978,NA,NA,NA
1887,193,Lake Sockeye,1979,NA,NA,NA
1950,193,Lake Sockeye,1980,NA,NA,NA
2013,193,Lake Sockeye,1981,NA,NA,NA
2076,193,Lake Sockeye,1982,NA,NA,NA
2139,193,Lake Sockeye,1983,NA,NA,NA
2202,193,Lake Sockeye,1984,NA,NA,NA
2265,193,Lake Sockeye,1985,NA,NA,NA
2328,193,Lake Sockeye,1986,NA,NA,NA
2391,193,Lake Sockeye,1987,NA,NA,NA
2454,193,Lake Sockeye,1988,NA,NA,NA
2517,193,Lake Sockeye,1989,NA,NA,NA
2580,193,Lake Sockeye,1990,NA,NA,NA
2643,193,Lake Sockeye,1991,NA,NA,NA
2706,193,Lake Sockeye,1992,NA,NA,NA
2769,193,Lake Sockeye,1993,NA,NA,NA
2832,193,Lake Sockeye,1994,NA,NA,NA
2895,193,Lake Sockeye,1995,NA,NA,NA
2958,193,Lake Sockeye,1996,NA,NA,NA
3021,193,Lake Sockeye,1997,NA,NA,NA
3084,193,Lake Sockeye,1998,NA,NA,NA
3147,193,Lake Sockeye,1999,NA,NA,NA
3210,193,Lake Sockeye,2000,949,949,2449
3273,193,Lake Sockeye,2001,855,855,1585
3336,193,Lake Sockeye,2002,398,398,811
3399,193,Lake Sockeye,2003,430,430,645
3462,193,Lake Sockeye,2004,293,293,436
3525,193,Lake Sockeye,2005,216,216,297
3588,193,Lake Sockeye,2006,331,331,621
3651,193,Lake Sockeye,2007,366,366,559
3714,193,Lake Sockeye,2008,150,150,230
3777,193,Lake Sockeye,2009,161,161,189
3840,193,Lake Sockeye,2010,740,740,981
3903,193,Lake Sockeye,2011,687,687,977
3966,193,Lake Sockeye,2012,940,940,1323
4029,193,Lake Sockeye,2013,93,93,105
4092,193,Lake Sockeye,2014,401,401,571
4155,193,Lake Sockeye,2015,1281,1281,1550
4218,193,Lake Sockeye,2016,267,267,382
4281,193,Lake Sockeye,2017,366,366,392
4344,193,Lake Sockeye,2018,NA,333,NA
4407,193,Lake Sockeye,2019,NA,NA,NA
36,194,Lake Sockeye,1950,NA,NA,NA
99,194,Lake Sockeye,1951,NA,NA,NA
162,194,Lake Sockeye,1952,NA,NA,NA
225,194,Lake Sockeye,1953,NA,NA,NA
288,194,Lake Sockeye,1954,NA,NA,NA
351,194,Lake Sockeye,1955,NA,NA,NA
414,194,Lake Sockeye,1956,NA,NA,NA
477,194,Lake Sockeye,1957,NA,75,NA
540,194,Lake Sockeye,1958,NA,200,NA
603,194,Lake Sockeye,1959,NA,25,NA
666,194,Lake Sockeye,1960,NA,25,NA
729,194,Lake Sockeye,1961,NA,250,NA
792,194,Lake Sockeye,1962,NA,250,NA
855,194,Lake Sockeye,1963,NA,300,NA
918,194,Lake Sockeye,1964,NA,200,NA
981,194,Lake Sockeye,1965,NA,100,NA
1044,194,Lake Sockeye,1966,NA,NA,NA
1107,194,Lake Sockeye,1967,NA,50,NA
1170,194,Lake Sockeye,1968,NA,600,NA
1233,194,Lake Sockeye,1969,NA,300,NA
1296,194,Lake Sockeye,1970,NA,500,NA
1359,194,Lake Sockeye,1971,NA,NA,NA
1422,194,Lake Sockeye,1972,NA,800,NA
1485,194,Lake Sockeye,1973,NA,300,NA
1548,194,Lake Sockeye,1974,NA,50,NA
1611,194,Lake Sockeye,1975,NA,NA,NA
1674,194,Lake Sockeye,1976,NA,NA,NA
1737,194,Lake Sockeye,1977,NA,40,NA
1800,194,Lake Sockeye,1978,NA,2,NA
1863,194,Lake Sockeye,1979,NA,100,NA
1926,194,Lake Sockeye,1980,NA,100,NA
1989,194,Lake Sockeye,1981,NA,NA,NA
2052,194,Lake Sockeye,1982,NA,NA,NA
2115,194,Lake Sockeye,1983,NA,NA,NA
2178,194,Lake Sockeye,1984,NA,NA,NA
2241,194,Lake Sockeye,1985,NA,NA,NA
2304,194,Lake Sockeye,1986,NA,NA,NA
2367,194,Lake Sockeye,1987,NA,400,NA
2430,194,Lake Sockeye,1988,NA,50,NA
2493,194,Lake Sockeye,1989,NA,NA,NA
2556,194,Lake Sockeye,1990,NA,70,NA
2619,194,Lake Sockeye,1991,NA,NA,NA
2682,194,Lake Sockeye,1992,NA,2600,NA
2745,194,Lake Sockeye,1993,NA,1021,NA
2808,194,Lake Sockeye,1994,NA,1429,NA
2871,194,Lake Sockeye,1995,NA,328,NA
2934,194,Lake Sockeye,1996,NA,NA,NA
2997,194,Lake Sockeye,1997,NA,NA,NA
3060,194,Lake Sockeye,1998,NA,NA,NA
3123,194,Lake Sockeye,1999,NA,NA,NA
3186,194,Lake Sockeye,2000,NA,NA,NA
3249,194,Lake Sockeye,2001,NA,NA,NA
3312,194,Lake Sockeye,2002,NA,NA,NA
3375,194,Lake Sockeye,2003,NA,NA,NA
3438,194,Lake Sockeye,2004,NA,NA,NA
3501,194,Lake Sockeye,2005,NA,NA,NA
3564,194,Lake Sockeye,2006,NA,NA,NA
3627,194,Lake Sockeye,2007,NA,NA,NA
3690,194,Lake Sockeye,2008,NA,NA,NA
3753,194,Lake Sockeye,2009,NA,NA,NA
3816,194,Lake Sockeye,2010,NA,NA,NA
3879,194,Lake Sockeye,2011,NA,NA,NA
3942,194,Lake Sockeye,2012,NA,NA,NA
4005,194,Lake Sockeye,2013,NA,NA,NA
4068,194,Lake Sockeye,2014,NA,NA,NA
4131,194,Lake Sockeye,2015,NA,NA,NA
4194,194,Lake Sockeye,2016,NA,NA,NA
4257,194,Lake Sockeye,2017,NA,NA,NA
4320,194,Lake Sockeye,2018,NA,NA,NA
4383,194,Lake Sockeye,2019,NA,NA,NA
37,195,Lake Sockeye,1950,NA,NA,NA
100,195,Lake Sockeye,1951,NA,NA,NA
163,195,Lake Sockeye,1952,NA,NA,NA
226,195,Lake Sockeye,1953,NA,NA,NA
289,195,Lake Sockeye,1954,NA,NA,NA
352,195,Lake Sockeye,1955,NA,NA,NA
415,195,Lake Sockeye,1956,NA,NA,NA
478,195,Lake Sockeye,1957,NA,NA,NA
541,195,Lake Sockeye,1958,NA,NA,NA
604,195,Lake Sockeye,1959,NA,NA,NA
667,195,Lake Sockeye,1960,NA,NA,NA
730,195,Lake Sockeye,1961,NA,NA,NA
793,195,Lake Sockeye,1962,NA,NA,NA
856,195,Lake Sockeye,1963,NA,NA,NA
919,195,Lake Sockeye,1964,NA,NA,NA
982,195,Lake Sockeye,1965,NA,NA,NA
1045,195,Lake Sockeye,1966,NA,NA,NA
1108,195,Lake Sockeye,1967,NA,NA,NA
1171,195,Lake Sockeye,1968,NA,NA,NA
1234,195,Lake Sockeye,1969,NA,NA,NA
1297,195,Lake Sockeye,1970,NA,50,NA
1360,195,Lake Sockeye,1971,NA,NA,NA
1423,195,Lake Sockeye,1972,NA,NA,NA
1486,195,Lake Sockeye,1973,NA,NA,NA
1549,195,Lake Sockeye,1974,NA,NA,NA
1612,195,Lake Sockeye,1975,NA,NA,NA
1675,195,Lake Sockeye,1976,NA,NA,NA
1738,195,Lake Sockeye,1977,NA,NA,NA
1801,195,Lake Sockeye,1978,NA,NA,NA
1864,195,Lake Sockeye,1979,NA,NA,NA
1927,195,Lake Sockeye,1980,NA,NA,NA
1990,195,Lake Sockeye,1981,NA,NA,NA
2053,195,Lake Sockeye,1982,NA,NA,NA
2116,195,Lake Sockeye,1983,NA,NA,NA
2179,195,Lake Sockeye,1984,NA,NA,NA
2242,195,Lake Sockeye,1985,NA,NA,NA
2305,195,Lake Sockeye,1986,NA,NA,NA
2368,195,Lake Sockeye,1987,NA,NA,NA
2431,195,Lake Sockeye,1988,NA,NA,NA
2494,195,Lake Sockeye,1989,NA,NA,NA
2557,195,Lake Sockeye,1990,NA,NA,NA
2620,195,Lake Sockeye,1991,NA,NA,NA
2683,195,Lake Sockeye,1992,NA,NA,NA
2746,195,Lake Sockeye,1993,NA,NA,NA
2809,195,Lake Sockeye,1994,NA,NA,NA
2872,195,Lake Sockeye,1995,NA,NA,NA
2935,195,Lake Sockeye,1996,NA,NA,NA
2998,195,Lake Sockeye,1997,NA,NA,NA
3061,195,Lake Sockeye,1998,NA,NA,NA
3124,195,Lake Sockeye,1999,NA,NA,NA
3187,195,Lake Sockeye,2000,NA,NA,NA
3250,195,Lake Sockeye,2001,NA,NA,NA
3313,195,Lake Sockeye,2002,NA,NA,NA
3376,195,Lake Sockeye,2003,NA,NA,NA
3439,195,Lake Sockeye,2004,NA,NA,NA
3502,195,Lake Sockeye,2005,NA,NA,NA
3565,195,Lake Sockeye,2006,NA,NA,NA
3628,195,Lake Sockeye,2007,NA,NA,NA
3691,195,Lake Sockeye,2008,NA,NA,NA
3754,195,Lake Sockeye,2009,NA,NA,NA
3817,195,Lake Sockeye,2010,NA,NA,NA
3880,195,Lake Sockeye,2011,NA,NA,NA
3943,195,Lake Sockeye,2012,NA,NA,NA
4006,195,Lake Sockeye,2013,NA,NA,NA
4069,195,Lake Sockeye,2014,NA,NA,NA
4132,195,Lake Sockeye,2015,NA,NA,NA
4195,195,Lake Sockeye,2016,NA,NA,NA
4258,195,Lake Sockeye,2017,NA,NA,NA
4321,195,Lake Sockeye,2018,NA,NA,NA
4384,195,Lake Sockeye,2019,NA,NA,NA
38,196,Lake Sockeye,1950,NA,NA,NA
101,196,Lake Sockeye,1951,NA,NA,NA
164,196,Lake Sockeye,1952,NA,NA,NA
227,196,Lake Sockeye,1953,NA,NA,NA
290,196,Lake Sockeye,1954,NA,NA,NA
353,196,Lake Sockeye,1955,NA,NA,NA
416,196,Lake Sockeye,1956,NA,NA,NA
479,196,Lake Sockeye,1957,NA,NA,NA
542,196,Lake Sockeye,1958,NA,NA,NA
605,196,Lake Sockeye,1959,NA,NA,NA
668,196,Lake Sockeye,1960,NA,NA,NA
731,196,Lake Sockeye,1961,NA,NA,NA
794,196,Lake Sockeye,1962,NA,NA,NA
857,196,Lake Sockeye,1963,NA,NA,NA
920,196,Lake Sockeye,1964,NA,NA,NA
983,196,Lake Sockeye,1965,NA,NA,NA
1046,196,Lake Sockeye,1966,NA,NA,NA
1109,196,Lake Sockeye,1967,NA,NA,NA
1172,196,Lake Sockeye,1968,NA,NA,NA
1235,196,Lake Sockeye,1969,NA,NA,NA
1298,196,Lake Sockeye,1970,NA,600,NA
1361,196,Lake Sockeye,1971,NA,NA,NA
1424,196,Lake Sockeye,1972,NA,NA,NA
1487,196,Lake Sockeye,1973,NA,NA,NA
1550,196,Lake Sockeye,1974,NA,NA,NA
1613,196,Lake Sockeye,1975,NA,400,NA
1676,196,Lake Sockeye,1976,NA,NA,NA
1739,196,Lake Sockeye,1977,NA,NA,NA
1802,196,Lake Sockeye,1978,NA,NA,NA
1865,196,Lake Sockeye,1979,NA,NA,NA
1928,196,Lake Sockeye,1980,NA,NA,NA
1991,196,Lake Sockeye,1981,NA,NA,NA
2054,196,Lake Sockeye,1982,NA,NA,NA
2117,196,Lake Sockeye,1983,NA,NA,NA
2180,196,Lake Sockeye,1984,NA,NA,NA
2243,196,Lake Sockeye,1985,NA,NA,NA
2306,196,Lake Sockeye,1986,NA,NA,NA
2369,196,Lake Sockeye,1987,NA,NA,NA
2432,196,Lake Sockeye,1988,NA,NA,NA
2495,196,Lake Sockeye,1989,NA,NA,NA
2558,196,Lake Sockeye,1990,NA,NA,NA
2621,196,Lake Sockeye,1991,NA,NA,NA
2684,196,Lake Sockeye,1992,NA,NA,NA
2747,196,Lake Sockeye,1993,NA,NA,NA
2810,196,Lake Sockeye,1994,NA,NA,NA
2873,196,Lake Sockeye,1995,NA,NA,NA
2936,196,Lake Sockeye,1996,NA,NA,NA
2999,196,Lake Sockeye,1997,NA,NA,NA
3062,196,Lake Sockeye,1998,NA,NA,NA
3125,196,Lake Sockeye,1999,NA,NA,NA
3188,196,Lake Sockeye,2000,NA,NA,NA
3251,196,Lake Sockeye,2001,NA,NA,NA
3314,196,Lake Sockeye,2002,NA,NA,NA
3377,196,Lake Sockeye,2003,NA,NA,NA
3440,196,Lake Sockeye,2004,NA,NA,NA
3503,196,Lake Sockeye,2005,NA,NA,NA
3566,196,Lake Sockeye,2006,NA,NA,NA
3629,196,Lake Sockeye,2007,NA,NA,NA
3692,196,Lake Sockeye,2008,NA,NA,NA
3755,196,Lake Sockeye,2009,NA,NA,NA
3818,196,Lake Sockeye,2010,NA,NA,NA
3881,196,Lake Sockeye,2011,NA,NA,NA
3944,196,Lake Sockeye,2012,NA,NA,NA
4007,196,Lake Sockeye,2013,NA,NA,NA
4070,196,Lake Sockeye,2014,NA,NA,NA
4133,196,Lake Sockeye,2015,NA,NA,NA
4196,196,Lake Sockeye,2016,NA,NA,NA
4259,196,Lake Sockeye,2017,NA,NA,NA
4322,196,Lake Sockeye,2018,NA,NA,NA
4385,196,Lake Sockeye,2019,NA,NA,NA
61,197,Lake Sockeye,1950,NA,NA,NA
124,197,Lake Sockeye,1951,NA,NA,NA
187,197,Lake Sockeye,1952,NA,NA,NA
250,197,Lake Sockeye,1953,NA,NA,NA
313,197,Lake Sockeye,1954,NA,NA,NA
376,197,Lake Sockeye,1955,NA,NA,NA
439,197,Lake Sockeye,1956,NA,NA,NA
502,197,Lake Sockeye,1957,NA,NA,NA
565,197,Lake Sockeye,1958,NA,NA,NA
628,197,Lake Sockeye,1959,NA,NA,NA
691,197,Lake Sockeye,1960,NA,NA,NA
754,197,Lake Sockeye,1961,NA,NA,NA
817,197,Lake Sockeye,1962,NA,NA,NA
880,197,Lake Sockeye,1963,NA,NA,NA
943,197,Lake Sockeye,1964,NA,NA,NA
1006,197,Lake Sockeye,1965,NA,NA,NA
1069,197,Lake Sockeye,1966,NA,NA,NA
1132,197,Lake Sockeye,1967,NA,NA,NA
1195,197,Lake Sockeye,1968,NA,NA,NA
1258,197,Lake Sockeye,1969,NA,NA,NA
1321,197,Lake Sockeye,1970,1600,800,3404
1384,197,Lake Sockeye,1971,NA,NA,NA
1447,197,Lake Sockeye,1972,600,300,1459
1510,197,Lake Sockeye,1973,6000,3000,17457
1573,197,Lake Sockeye,1974,NA,NA,NA
1636,197,Lake Sockeye,1975,66,33,118
1699,197,Lake Sockeye,1976,NA,NA,NA
1762,197,Lake Sockeye,1977,NA,NA,NA
1825,197,Lake Sockeye,1978,NA,NA,NA
1888,197,Lake Sockeye,1979,NA,NA,NA
1951,197,Lake Sockeye,1980,NA,NA,NA
2014,197,Lake Sockeye,1981,NA,NA,NA
2077,197,Lake Sockeye,1982,NA,NA,NA
2140,197,Lake Sockeye,1983,NA,NA,NA
2203,197,Lake Sockeye,1984,NA,NA,NA
2266,197,Lake Sockeye,1985,NA,NA,NA
2329,197,Lake Sockeye,1986,NA,NA,NA
2392,197,Lake Sockeye,1987,1500,750,2577
2455,197,Lake Sockeye,1988,100,50,273
2518,197,Lake Sockeye,1989,400,200,896
2581,197,Lake Sockeye,1990,60,30,162
2644,197,Lake Sockeye,1991,300,150,865
2707,197,Lake Sockeye,1992,500,250,1543
2770,197,Lake Sockeye,1993,400,200,1005
2833,197,Lake Sockeye,1994,NA,NA,NA
2896,197,Lake Sockeye,1995,NA,NA,NA
2959,197,Lake Sockeye,1996,100,50,329
3022,197,Lake Sockeye,1997,220,110,710
3085,197,Lake Sockeye,1998,500,250,888
3148,197,Lake Sockeye,1999,500,250,625
3211,197,Lake Sockeye,2000,400,200,1006
3274,197,Lake Sockeye,2001,200,100,436
3337,197,Lake Sockeye,2002,100,50,210
3400,197,Lake Sockeye,2003,2000,1000,3143
3463,197,Lake Sockeye,2004,600,300,1008
3526,197,Lake Sockeye,2005,290,145,423
3589,197,Lake Sockeye,2006,120,60,224
3652,197,Lake Sockeye,2007,300,150,577
3715,197,Lake Sockeye,2008,100,50,183
3778,197,Lake Sockeye,2009,410,205,506
3841,197,Lake Sockeye,2010,592,296,810
3904,197,Lake Sockeye,2011,880,440,1397
3967,197,Lake Sockeye,2012,NA,NA,NA
4030,197,Lake Sockeye,2013,NA,NA,NA
4093,197,Lake Sockeye,2014,NA,NA,NA
4156,197,Lake Sockeye,2015,NA,NA,NA
4219,197,Lake Sockeye,2016,NA,NA,NA
4282,197,Lake Sockeye,2017,1124,562,1291
4345,197,Lake Sockeye,2018,NA,153,NA
4408,197,Lake Sockeye,2019,NA,431,NA
39,198,Lake Sockeye,1950,NA,NA,NA
102,198,Lake Sockeye,1951,NA,NA,NA
165,198,Lake Sockeye,1952,NA,NA,NA
228,198,Lake Sockeye,1953,NA,NA,NA
291,198,Lake Sockeye,1954,NA,NA,NA
354,198,Lake Sockeye,1955,NA,NA,NA
417,198,Lake Sockeye,1956,NA,NA,NA
480,198,Lake Sockeye,1957,NA,NA,NA
543,198,Lake Sockeye,1958,NA,NA,NA
606,198,Lake Sockeye,1959,NA,NA,NA
669,198,Lake Sockeye,1960,NA,NA,NA
732,198,Lake Sockeye,1961,NA,NA,NA
795,198,Lake Sockeye,1962,NA,NA,NA
858,198,Lake Sockeye,1963,NA,NA,NA
921,198,Lake Sockeye,1964,NA,50,NA
984,198,Lake Sockeye,1965,NA,150,NA
1047,198,Lake Sockeye,1966,NA,NA,NA
1110,198,Lake Sockeye,1967,NA,NA,NA
1173,198,Lake Sockeye,1968,NA,NA,NA
1236,198,Lake Sockeye,1969,NA,NA,NA
1299,198,Lake Sockeye,1970,NA,NA,NA
1362,198,Lake Sockeye,1971,NA,NA,NA
1425,198,Lake Sockeye,1972,NA,NA,NA
1488,198,Lake Sockeye,1973,NA,NA,NA
1551,198,Lake Sockeye,1974,NA,NA,NA
1614,198,Lake Sockeye,1975,NA,NA,NA
1677,198,Lake Sockeye,1976,NA,NA,NA
1740,198,Lake Sockeye,1977,NA,NA,NA
1803,198,Lake Sockeye,1978,NA,NA,NA
1866,198,Lake Sockeye,1979,NA,NA,NA
1929,198,Lake Sockeye,1980,NA,NA,NA
1992,198,Lake Sockeye,1981,NA,NA,NA
2055,198,Lake Sockeye,1982,NA,NA,NA
2118,198,Lake Sockeye,1983,NA,NA,NA
2181,198,Lake Sockeye,1984,NA,NA,NA
2244,198,Lake Sockeye,1985,NA,NA,NA
2307,198,Lake Sockeye,1986,NA,NA,NA
2370,198,Lake Sockeye,1987,NA,NA,NA
2433,198,Lake Sockeye,1988,NA,NA,NA
2496,198,Lake Sockeye,1989,NA,NA,NA
2559,198,Lake Sockeye,1990,NA,NA,NA
2622,198,Lake Sockeye,1991,NA,NA,NA
2685,198,Lake Sockeye,1992,NA,NA,NA
2748,198,Lake Sockeye,1993,NA,NA,NA
